,col
0,"{row: 147, column: ""reclat""}: ""nan"" this field cannot be null"
1,"{row: 147, column: ""reclong""}: ""nan"" this field cannot be null"
2,"{row: 208, column: ""reclat""}: ""nan"" this field cannot be null"
3,"{row: 208, column: ""reclong""}: ""nan"" this field cannot be null"
4,"{row: 409, column: ""reclat""}: ""nan"" this field cannot be null"
5,"{row: 409, column: ""reclong""}: ""nan"" this field cannot be null"
6,"{row: 414, column: ""reclat""}: ""nan"" this field cannot be null"
7,"{row: 414, column: ""reclong""}: ""nan"" this field cannot be null"
8,"{row: 520, column: ""reclat""}: ""nan"" this field cannot be null"
9,"{row: 520, column: ""reclong""}: ""nan"" this field cannot be null"
10,"{row: 586, column: ""reclat""}: ""nan"" this field cannot be null"
11,"{row: 586, column: ""reclong""}: ""nan"" this field cannot be null"
12,"{row: 681, column: ""reclat""}: ""nan"" this field cannot be null"
13,"{row: 681, column: ""reclong""}: ""nan"" this field cannot be null"
14,"{row: 694, column: ""reclat""}: ""nan"" this field cannot be null"
15,"{row: 694, column: ""reclong""}: ""nan"" this field cannot be null"
16,"{row: 695, column: ""reclat""}: ""nan"" this field cannot be null"
17,"{row: 695, column: ""reclong""}: ""nan"" this field cannot be null"
18,"{row: 757, column: ""reclat""}: ""nan"" this field cannot be null"
19,"{row: 757, column: ""reclong""}: ""nan"" this field cannot be null"
20,"{row: 804, column: ""reclat""}: ""nan"" this field cannot be null"
21,"{row: 804, column: ""reclong""}: ""nan"" this field cannot be null"
22,"{row: 976, column: ""reclat""}: ""nan"" this field cannot be null"
23,"{row: 976, column: ""reclong""}: ""nan"" this field cannot be null"
