,name,id,nametype,recclass,mass,fall,year,reclat,reclong,coordinates,locations,locations2
2,Abee,6,Valid,EH4,107000.0,Fell,1952-01-01T00:00:00.000,54.21667,-113.0,"[-113, 54.21667]",Canada,Canada
7,Agen,392,Valid,H5,30000.0,Fell,1814-01-01T00:00:00.000,44.21667,0.61667,"[0.61667, 44.21667]",France,France
11,Aïr,424,Valid,L6,24000.0,Fell,1925-01-01T00:00:00.000,19.08333,8.38333,"[8.38333, 19.08333]",Niger,Niger
16,Akyumak,433,Valid,"Iron, IVA",50000.0,Fell,1981-01-01T00:00:00.000,39.91667,42.81667,"[42.81667, 39.91667]",Türkiye,Türkiye
27,Alfianello,466,Valid,L6,228000.0,Fell,1883-01-01T00:00:00.000,45.26667,10.15,"[10.15, 45.26667]",Italia,Italia
28,Allegan,2276,Valid,H5,32000.0,Fell,1899-01-01T00:00:00.000,42.53333,-85.88333,"[-85.88333, 42.53333]",United States,United States
29,Allende,2278,Valid,CV3,2000000.0,Fell,1969-01-01T00:00:00.000,26.96667,-105.31667,"[-105.31667, 26.96667]",México,México
36,Andura,2298,Valid,H6,17900.0,Fell,1939-01-01T00:00:00.000,20.88333,76.86667,"[76.86667, 20.88333]",India,India
43,Appley Bridge,2318,Valid,LL6,15000.0,Fell,1914-01-01T00:00:00.000,53.58333,-2.71667,"[-2.71667, 53.58333]",United Kingdom,United Kingdom
57,Aumale,4899,Valid,L6,50000.0,Fell,1865-01-01T00:00:00.000,36.16667,3.66667,"[3.66667, 36.16667]",Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر,Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
59,Ausson,4903,Valid,L5,50000.0,Fell,1858-01-01T00:00:00.000,43.08333,0.58333,"[0.58333, 43.08333]",France,France
65,Bachmut,4917,Valid,L6,18000.0,Fell,1814-01-01T00:00:00.000,48.6,38.0,"[38, 48.6]",Україна,Україна
66,Bahjoi,4922,Valid,"Iron, IAB-sLL",10322.0,Fell,1934-01-01T00:00:00.000,28.48333,78.5,"[78.5, 28.48333]",India,India
70,Ban Rong Du,4934,Valid,"Iron, ungrouped",16700.0,Fell,1993-01-01T00:00:00.000,16.66667,101.18333,"[101.18333, 16.66667]",ประเทศไทย,ประเทศไทย
71,Bandong,4935,Valid,LL6,11500.0,Fell,1871-01-01T00:00:00.000,-6.91667,107.6,"[107.6, -6.91667]",Indonesia,Indonesia
72,Bansur,4936,Valid,L6,15000.0,Fell,1892-01-01T00:00:00.000,27.7,76.33333,"[76.33333, 27.7]",India,India
81,Barwell,4954,Valid,L5,44000.0,Fell,1965-01-01T00:00:00.000,52.56528,-1.33972,"[-1.33972, 52.56528]",United Kingdom,United Kingdom
82,Bassikounou,44876,Valid,H5,29560.0,Fell,2006-01-01T00:00:00.000,15.78333,-5.9,"[-5.9, 15.78333]",موريتانيا,موريتانيا
83,Baszkówka,4957,Valid,L5,15500.0,Fell,1994-01-01T00:00:00.000,52.03333,20.93583,"[20.93583, 52.03333]",Polska,Polska
84,Bath,4974,Valid,H4,21000.0,Fell,1892-01-01T00:00:00.000,45.41667,-98.31667,"[-98.31667, 45.41667]",United States,United States
85,Bath Furnace,4975,Valid,L6,86000.0,Fell,1902-01-01T00:00:00.000,38.25,-83.75,"[-83.75, 38.25]",United States,United States
89,Beardsley,4984,Valid,H5,16000.0,Fell,1929-01-01T00:00:00.000,39.8,-101.2,"[-101.2, 39.8]",United States,United States
90,Beaver Creek,4986,Valid,H5,14000.0,Fell,1893-01-01T00:00:00.000,51.16667,-117.33333,"[-117.33333, 51.16667]",Canada,Canada
95,Benguerir,30443,Valid,LL6,25000.0,Fell,2004-01-01T00:00:00.000,32.25,-8.15,"[-8.15, 32.25]",Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
96,Beni M'hira,5018,Valid,L6,19000.0,Fell,2001-01-01T00:00:00.000,32.86667,10.8,"[10.8, 32.86667]",تونس,تونس
99,Bensour,5024,Valid,LL6,45000.0,Fell,2002-01-01T00:00:00.000,30.0,-7.0,"[-7, 30]",Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
102,Béréba,5028,Valid,Eucrite-mmict,18000.0,Fell,1924-01-01T00:00:00.000,11.65,-3.65,"[-3.65, 11.65]",Burkina Faso,Burkina Faso
115,Bilanga,5045,Valid,Diogenite,25000.0,Fell,1999-01-01T00:00:00.000,12.45,-0.08333,"[-0.08333, 12.45]",Burkina Faso,Burkina Faso
121,Bjurböle,5064,Valid,L/LL4,330000.0,Fell,1899-01-01T00:00:00.000,60.4,25.8,"[25.8, 60.4]",Suomi / Finland,Suomi / Finland
130,Boguslavka,5098,Valid,"Iron, IIAB",256000.0,Fell,1916-01-01T00:00:00.000,44.55,131.63333,"[131.63333, 44.55]",Россия,Россия
141,Braunau,5133,Valid,"Iron, IIAB",39000.0,Fell,1847-01-01T00:00:00.000,50.6,16.3,"[16.3, 50.6]",Česko,Česko
145,Bruderheim,5156,Valid,L6,303000.0,Fell,1960-01-01T00:00:00.000,53.9,-112.88333,"[-112.88333, 53.9]",Canada,Canada
150,Bur-Gheluai,5169,Valid,H5,120000.0,Fell,1919-01-01T00:00:00.000,5.0,48.0,"[48, 5]",Soomaaliya الصومال,Soomaaliya الصومال
152,Bursa,5177,Valid,L6,25000.0,Fell,1946-01-01T00:00:00.000,40.2,29.23333,"[29.23333, 40.2]",Türkiye,Türkiye
155,Butsura,5183,Valid,H6,29000.0,Fell,1861-01-01T00:00:00.000,27.08333,84.08333,"[84.08333, 27.08333]",India,India
156,Buzzard Coulee,48654,Valid,H4,41000.0,Fell,2008-01-01T00:00:00.000,52.996,-109.84817,"[-109.84817, 52.996]",Canada,Canada
157,Cabezo de Mayo,5185,Valid,L/LL6,25000.0,Fell,1870-01-01T00:00:00.000,37.98333,-1.16667,"[-1.16667, 37.98333]",España,España
158,Cabin Creek,5186,Valid,"Iron, IIIAB",48500.0,Fell,1886-01-01T00:00:00.000,35.5,-93.5,"[-93.5, 35.5]",United States,United States
162,Campos Sales,5249,Valid,L5,23680.0,Fell,1991-01-01T00:00:00.000,-7.03333,-40.16667,"[-40.16667, -7.03333]",Brasil,Brasil
165,Cangas de Onis,5252,Valid,H5,34000.0,Fell,1866-01-01T00:00:00.000,43.38333,-5.15,"[-5.15, 43.38333]",España,España
174,Castrovillari,5295,Valid,Stone-uncl,15000.0,Fell,1583-01-01T00:00:00.000,39.8,16.2,"[16.2, 39.8]",Italia,Italia
182,Chajari,5316,Valid,L5,18300.0,Fell,1933-01-01T00:00:00.000,-30.78333,-58.05,"[-58.05, -30.78333]",Argentina,Argentina
186,Chantonnay,5325,Valid,L6,31500.0,Fell,1812-01-01T00:00:00.000,46.68333,1.05,"[1.05, 46.68333]",France,France
188,Charsonville,5329,Valid,H6,27000.0,Fell,1810-01-01T00:00:00.000,47.93333,1.56667,"[1.56667, 47.93333]",France,France
189,Charwallas,5330,Valid,H6,12000.0,Fell,1834-01-01T00:00:00.000,29.48333,75.5,"[75.5, 29.48333]",India,India
191,Château-Renard,5332,Valid,L6,30000.0,Fell,1841-01-01T00:00:00.000,47.93333,2.91667,"[2.91667, 47.93333]",France,France
194,Chelyabinsk,57165,Valid,LL5,100000.0,Fell,2013-01-01T00:00:00.000,54.81667,61.11667,"[61.11667, 54.81667]",Россия,Россия
195,Chergach ,47347,Valid,H5,100000.0,Fell,2007-01-01T00:00:00.000,23.69639,-5.01472,"[-5.01472, 23.69639]",Mali,Mali
209,Colby (Wisconsin),5395,Valid,L6,104000.0,Fell,1917-01-01T00:00:00.000,44.9,-90.28333,"[-90.28333, 44.9]",United States,United States
213,Conquista,5418,Valid,H4,20350.0,Fell,1965-01-01T00:00:00.000,-19.85,-47.55,"[-47.55, -19.85]",Brasil,Brasil
220,Cumberland Falls,5496,Valid,Aubrite,17000.0,Fell,1919-01-01T00:00:00.000,36.83333,-84.35,"[-84.35, 36.83333]",United States,United States
222,Dahmani,5504,Valid,LL6,18000.0,Fell,1981-01-01T00:00:00.000,35.61667,8.83333,"[8.83333, 35.61667]",تونس,تونس
232,Demina,6649,Valid,L6,16400.0,Fell,1911-01-01T00:00:00.000,51.46667,84.76667,"[84.76667, 51.46667]",Россия,Россия
234,Dergaon,6664,Valid,H5,12500.0,Fell,2001-01-01T00:00:00.000,26.68333,93.86667,"[93.86667, 26.68333]",India,India
235,Desuri,6693,Valid,H6,25400.0,Fell,1962-01-01T00:00:00.000,25.73333,73.61667,"[73.61667, 25.73333]",India,India
236,Devgaon,6694,Valid,H3.8,12000.0,Fell,2001-01-01T00:00:00.000,19.0,81.0,"[81, 19]",India,India
238,Dhajala,6698,Valid,H3.8,45000.0,Fell,1976-01-01T00:00:00.000,22.37778,71.42722,"[71.42722, 22.37778]",India,India
240,Dhurmsala,7640,Valid,LL6,32000.0,Fell,1860-01-01T00:00:00.000,32.23333,76.46667,"[76.46667, 32.23333]",India,India
244,Djati-Pengilon,7652,Valid,H6,166000.0,Fell,1884-01-01T00:00:00.000,-7.5,111.5,"[111.5, -7.5]",Indonesia,Indonesia
250,Dong Ujimqin Qi,7706,Valid,Mesosiderite,128800.0,Fell,1995-01-01T00:00:00.000,45.5,119.03333,"[119.03333, 45.5]",中国,中国
258,Dresden (Ontario),7731,Valid,H6,47700.0,Fell,1939-01-01T00:00:00.000,42.52,-82.26,"[-82.26, 42.52]",Canada,Canada
263,Durala,7750,Valid,L6,13200.0,Fell,1815-01-01T00:00:00.000,30.3,76.63333,"[76.63333, 30.3]",India,India
