,name,id,nametype,recclass,mass,fall,year,reclat,reclong,coordinates,locations,locations2
0,Aachen,1,Valid,L5,21.0,Fell,1880-01-01T00:00:00.000,50.775,6.08333,"[6.08333, 50.775]",Germany,Germany
1,Aarhus,2,Valid,H6,720.0,Fell,1951-01-01T00:00:00.000,56.18333,10.23333,"[10.23333, 56.18333]",Denmark,Denmark
3,Acapulco,10,Valid,Acapulcoite,1914.0,Fell,1976-01-01T00:00:00.000,16.88333,-99.9,"[-99.9, 16.88333]",Mexico,Mexico
4,Achiras,370,Valid,L6,780.0,Fell,1902-01-01T00:00:00.000,-33.16667,-64.95,"[-64.95, -33.16667]",Argentina,Argentina
6,Adzhi-Bogdo (stone),390,Valid,LL3-6,910.0,Fell,1949-01-01T00:00:00.000,44.83333,95.16667,"[95.16667, 44.83333]",Mongolia,Mongolia
8,Aguada,398,Valid,L6,1620.0,Fell,1930-01-01T00:00:00.000,-31.6,-65.23333,"[-65.23333, -31.6]",Argentina,Argentina
9,Aguila Blanca,417,Valid,L,1440.0,Fell,1920-01-01T00:00:00.000,-30.86667,-64.55,"[-64.55, -30.86667]",Argentina,Argentina
10,Aioun el Atrouss,423,Valid,Diogenite-pm,1000.0,Fell,1974-01-01T00:00:00.000,16.39806,-9.57028,"[-9.57028, 16.39806]",Mauritania,Mauritania
13,Akaba,426,Valid,L6,779.0,Fell,1949-01-01T00:00:00.000,29.51667,35.05,"[35.05, 29.51667]",Jordan,Jordan
14,Akbarpur,427,Valid,H4,1800.0,Fell,1838-01-01T00:00:00.000,29.71667,77.95,"[77.95, 29.71667]",India,India
17,Al Rais,446,Valid,CR2-an,160.0,Fell,1957-01-01T00:00:00.000,24.41667,39.51667,"[39.51667, 24.41667]",Saudi Arabia,Saudi Arabia
18,Al Zarnkh,447,Valid,LL5,700.0,Fell,2001-01-01T00:00:00.000,13.66033,28.96,"[28.96, 13.66033]",Sudan,Sudan
21,Alberta,454,Valid,L,625.0,Fell,1949-01-01T00:00:00.000,2.0,22.66667,"[22.66667, 2]",Democratic Republic of the Congo,Democratic Republic of the Congo
22,Alby sur Chéran,458,Valid,Eucrite-mmict,252.0,Fell,2002-01-01T00:00:00.000,45.82133,6.01533,"[6.01533, 45.82133]",France,France
23,Aldsworth,461,Valid,LL5,700.0,Fell,1835-01-01T00:00:00.000,51.78333,-1.78333,"[-1.78333, 51.78333]",United Kingdom,United Kingdom
25,Alessandria,463,Valid,H5,908.0,Fell,1860-01-01T00:00:00.000,44.88333,8.75,"[8.75, 44.88333]",Italy,Italy
35,Andreevka,2296,Valid,L3,600.0,Fell,1969-01-01T00:00:00.000,48.7,37.5,"[37.5, 48.7]",Ukraine,Ukraine
39,Angra dos Reis (stone),2302,Valid,Angrite,1500.0,Fell,1869-01-01T00:00:00.000,-22.96667,-44.31667,"[-44.31667, -22.96667]",Brazil,Brazil
42,Aomori,2313,Valid,L6,320.0,Fell,1984-01-01T00:00:00.000,40.81056,140.78556,"[140.78556, 40.81056]",Japan,Japan
45,Arbol Solo,2325,Valid,H5,810.0,Fell,1954-01-01T00:00:00.000,-33.0,-66.0,"[-66, -33]",Argentina,Argentina
48,Asco,2345,Valid,H6,41.0,Fell,1805-01-01T00:00:00.000,42.45,9.03333,"[9.03333, 42.45]",France,France
50,Ashdon,2346,Valid,L6,1300.0,Fell,1923-01-01T00:00:00.000,52.05,0.3,"[0.30000000000000004, 52.05]",United Kingdom,United Kingdom
52,Atarra,4883,Valid,L4,1280.0,Fell,1920-01-01T00:00:00.000,25.25417,80.625,"[80.625, 25.25417]",India,India
54,Athens,4885,Valid,LL6,265.0,Fell,1933-01-01T00:00:00.000,34.75,-87.0,"[-87, 34.75]",United States,United States
56,Aubres,4893,Valid,Aubrite,800.0,Fell,1836-01-01T00:00:00.000,44.38333,5.16667,"[5.16667, 44.38333]",France,France
61,Avce,4906,Valid,"Iron, IIAB",1230.0,Fell,1908-01-01T00:00:00.000,46.0,13.5,"[13.5, 46]",Slovenia,Slovenia
62,Avilez,4907,Valid,H,146.0,Fell,1855-01-01T00:00:00.000,25.0,-103.5,"[-103.5, 25]",Mexico,Mexico
63,Awere,4910,Valid,L4,134.0,Fell,1968-01-01T00:00:00.000,2.71667,32.83333,"[32.83333, 2.71667]",Uganda,Uganda
68,Baldwyn,4926,Valid,L6,345.0,Fell,1922-01-01T00:00:00.000,34.5,-88.66667,"[-88.66667, 34.5]",United States,United States
69,Bali,4928,Valid,CV3,1000.0,Fell,1907-01-01T00:00:00.000,5.38333,16.38333,"[16.38333, 5.38333]",Central African Republic,Central African Republic
