,name,id,nametype,recclass,mass,fall,year,reclat,reclong,coordinates,locations,locations2
5,Adhi Kot,379,Valid,EH4,4239.0,Fell,1919-01-01T00:00:00.000,32.1,71.8,"[71.8, 32.1]",Pakistan,Pakistan
15,Akwanga,432,Valid,H,3000.0,Fell,1959-01-01T00:00:00.000,8.91667,8.43333,"[8.43333, 8.91667]",Nigeria,Nigeria
19,Alais,448,Valid,CI1,6000.0,Fell,1806-01-01T00:00:00.000,44.11667,4.08333,"[4.08333, 44.11667]",France,France
24,Aleppo,462,Valid,L6,3200.0,Fell,1873-01-01T00:00:00.000,36.23333,37.13333,"[37.13333, 36.23333]",Syria,Syria
26,Alexandrovsky,465,Valid,H4,9251.0,Fell,1900-01-01T00:00:00.000,50.95,31.81667,"[31.81667, 50.95]",Ukraine,Ukraine
30,Almahata Sitta,48915,Valid,Ureilite-an,3950.0,Fell,2008-01-01T00:00:00.000,20.74575,32.41275,"[32.41275, 20.74575]",Sudan,Sudan
31,Alta'ameem,2284,Valid,LL5,6000.0,Fell,1977-01-01T00:00:00.000,35.27333,44.21556,"[44.21556, 35.27333]",Iraq,Iraq
32,Ambapur Nagla,2290,Valid,H5,6400.0,Fell,1895-01-01T00:00:00.000,27.66667,78.25,"[78.25, 27.66667]",India,India
33,Andhara,2294,Valid,Stone-uncl,2700.0,Fell,1880-01-01T00:00:00.000,26.58333,85.56667,"[85.56667, 26.58333]",India,India
34,Andover,2295,Valid,L6,3200.0,Fell,1898-01-01T00:00:00.000,44.61667,-70.75,"[-70.75, 44.61667]",United States,United States
40,Ankober,2304,Valid,H4,6500.0,Fell,1942-01-01T00:00:00.000,9.53333,39.71667,"[39.71667, 9.53333]",Ethiopia,Ethiopia
41,Anlong,2305,Valid,H5,2500.0,Fell,1971-01-01T00:00:00.000,25.15,105.18333,"[105.18333, 25.15]",China,China
44,Apt,2320,Valid,L6,3200.0,Fell,1803-01-01T00:00:00.000,43.86667,5.38333,"[5.38333, 43.86667]",France,France
46,Archie,2329,Valid,H6,5070.0,Fell,1932-01-01T00:00:00.000,38.5,-94.3,"[-94.3, 38.5]",United States,United States
